統計区・町丁名,世帯数,人口,男,女,年,月
額谷町,68.0,187.0,87.0,100.0,2019,11
四十万町,809.0,2163.0,1072.0,1091.0,2019,11
三十苅町,648.0,1503.0,722.0,781.0,2019,11
額乙丸町,603.0,1483.0,717.0,766.0,2019,11
大額町,108.0,243.0,120.0,123.0,2019,11
額谷町,68.0,187.0,87.0,100.0,2019,12
四十万町,813.0,2159.0,1070.0,1089.0,2019,12
三十苅町,646.0,1501.0,719.0,782.0,2019,12
額乙丸町,641.0,1515.0,741.0,774.0,2019,12
大額町,106.0,237.0,117.0,120.0,2019,12
額谷町,68.0,186.0,86.0,100.0,2020,1
四十万町,815.0,2160.0,1070.0,1090.0,2020,1
三十苅町,644.0,1499.0,718.0,781.0,2020,1
額乙丸町,618.0,1483.0,721.0,762.0,2020,1
大額町,106.0,238.0,117.0,121.0,2020,1
額谷町,68.0,187.0,87.0,100.0,2020,2
四十万町,820.0,2175.0,1076.0,1099.0,2020,2
三十苅町,646.0,1502.0,719.0,783.0,2020,2
額乙丸町,700.0,1562.0,746.0,816.0,2020,2
大額町,105.0,236.0,116.0,120.0,2020,2
額谷町,68.0,185.0,86.0,99.0,2020,3
四十万町,822.0,2178.0,1076.0,1102.0,2020,3
三十苅町,643.0,1495.0,716.0,779.0,2020,3
額乙丸町,599.0,1461.0,702.0,759.0,2020,3
大額町,107.0,237.0,118.0,119.0,2020,3
額谷町,68.0,185.0,86.0,99.0,2020,4
四十万町,827.0,2193.0,1086.0,1107.0,2020,4
三十苅町,644.0,1481.0,708.0,773.0,2020,4
額乙丸町,604.0,1461.0,697.0,764.0,2020,4
大額町,108.0,237.0,117.0,120.0,2020,4
額谷町,69.0,185.0,85.0,100.0,2020,5
四十万町,831.0,2196.0,1091.0,1105.0,2020,5
三十苅町,645.0,1476.0,706.0,770.0,2020,5
額乙丸町,604.0,1458.0,698.0,760.0,2020,5
大額町,109.0,238.0,118.0,120.0,2020,5
額谷町,70.0,186.0,86.0,100.0,2020,6
四十万町,831.0,2201.0,1097.0,1104.0,2020,6
